Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
TT002;0;26;5;1;8;18;2,75;2,5;2,5;2,5;4;3,5;3;1,5;1,25;4,43;2,43;2,666667;3,666667;2,25;1;2,75;4,17;4,25;4,33;4,2;4,2;4,67;4;4;3,75;4;4,25;2,2;4;4;7;5;5;1,57;6,43;6,5
SS002;0;23;4;1;8;16;3;2,5;3,25;2,75;3,25;3,75;3,5;2,5;3;4;3,71;4,666667;3,333333;6;3,25;5;3;2,25;3;3;2,8;3,33;3;3,67;2;2;2,75;4,13;2;8;4;7;7;2,27;4,29;5
II004;1;27;3;1;8;13;4,75;4,5;5;5;5;5;4,25;5;4,5;2,86;2,86;3,333333;3;1,75;2,25;1,75;2,83;2,5;3,33;3,4;3,8;2,67;2,5;3,33;2;2,75;2,5;4,6;7;2;7;4;4;1,9;5;3,75
HH002;0;23;3;1;3;13;3,25;4;3,25;4;3,25;4;3;2,75;3,25;3,71;3,14;2;3,333333;4,25;6;5;2,83;2,75;3,67;3,4;3,8;3,33;4;2,67;3;4,5;4,5;3,53;2;4;7;5;3;2,13;4,29;3,5
GG004;0;24;5;1;8;18;2,75;3,75;3,75;3,5;3,25;3,75;3;4;3,25;4,86;4,86;4,666667;4,666667;5;4;5;4;4,75;5;2,6;2,8;3,33;5;3;4;3,25;4,75;5,67;1;9;8;7;8;2,1;3,86;6,75
LL003;0;24;4;1;8;16;4,25;4,75;4,25;4,25;4,5;4,25;4,75;4,5;4,75;1,14;1,29;1,333333;1,333333;1,25;1;1;3,5;2,25;4;2,6;3;3;3,5;2,67;3,75;3,75;3,25;4,33;5;6;4;5;6;2,07;5,43;4
RR003;0;28;4;1;4;16;3,5;3;3;2,25;3,5;4;4,5;1,25;1,75;4,29;2,71;1,333333;2,666667;1,25;4,25;3;3,67;4;4,33;2,8;4;4,83;3,5;4;2,5;3,75;3;3,4;1;8;7;6;4;2,5;5;6,5
EE004;1;48;3;2;5;13;2;2,5;2,75;3,25;3;3;3;3;3,75;3;2,71;3,333333;2,333333;2,5;2,25;3,5;3,5;3,75;4,33;4,6;4,4;4,33;2,75;2,67;3;2;3;2,8;7;5;4;4;5;1,07;3,86;4,25
TT003;1;24;4;1;8;16;3,25;3;3,5;2,75;3,5;4;3,5;2,5;2,25;3,57;2,29;3,333333;4;2,25;2,25;2,25;4,83;5;4,67;4,6;3,8;5;3,75;4;4;4;4;1,67;6;6;6;6;6;1,23;5,86;6
OO004;0;33;4;2;4;16;2,5;3;4;1,25;3,5;2,75;2,25;1,25;2;4,14;2,86;1,333333;1,666667;6;6;6,5;3,67;4,25;5;2,8;4,4;4,33;3;3,67;2,25;3,75;2;3,13;2;5;8;3;5;2,03;4,43;5,75
QQ004;1;45;3;2;3;13;1,75;3;2,25;1;2,75;2,25;1,5;2,75;1,75;2,86;4,14;1,333333;1,333333;2,75;1,25;3;2;2;4;4,2;3,8;3,17;2,75;2;2;2,5;2,75;4,07;7;3;8;2;3;2,03;3,71;4,5
AA004;0;27;4;1;5;16;1;3;4;2,5;4;3,25;3,75;2,25;3,75;3,57;3,14;3;5;1,75;2;5,75;3,67;2,75;3;4,4;4,6;5;4,75;3;3,5;2,75;3,25;2,53;6;7;5;5;5;1,63;4,57;6
CC003;0;58;2;2;7;8;2;2,75;3,75;2,25;3,5;3;4,5;1,75;2,25;3,71;3,86;3,333333;3,333333;1;1,75;3,75;2,67;3;4;3,8;4;4;3,25;3,67;3,5;3;3,5;3,33;5;6;4;4;5;2,4;4,71;5
BB004;1;66;2;2;6;8;1,75;3,5;3,5;2;3,25;3;3,5;1,5;1,75;4;2,71;3;3,333333;3,5;2;2;3,33;3;4;3,6;3,8;3,5;3,75;2,67;2,5;4;3,5;3,4;8;8;6;6;5;2,03;5,14;4,25
DD004;1;39;3;1;5;13;2;3,5;2,75;1,25;3,25;1,75;1,25;2,25;2,75;3,57;3,71;1;2,333333;2,25;4,5;3,5;3,67;3,75;3,67;4,6;3,8;3,83;4,5;3,33;3,5;3,5;3,25;2,6;7;7;5;7;5;2;5;4,5
HH003;1;16;2;1;8;8;3,25;3,25;2,75;1,5;3,5;2,25;3,25;2,5;2;3,43;2,29;2,333333;3,666667;9;8;6,25;3,5;3,75;4,67;2,8;2,2;3,83;4,25;2,67;2;3;3,5;2,47;4;4;2;2;5;1,87;4,57;3,25
LL004;0;25;4;1;4;16;2,5;2,75;4;3,5;3,75;3,75;3,75;2,25;2,25;3,43;2,29;2,666667;4;3,75;3,5;6,5;4,67;3,75;5;3,6;4,6;4,67;4;4,67;3,5;3;3,5;2,33;8;3;8;5;1;1,47;5;5,5
BB005;1;63;5;2;6;18;1,75;3,5;3,5;3;3,75;3,75;3,5;3;2,75;4;2,14;2;2,666667;1;1,25;1,5;4,17;3,75;4,67;5;4,6;4,17;3;2,33;4;3,75;4,25;2,87;8;7;3;8;6;1,8;4,29;4,25
CC004;0;56;5;2;4;18;2,5;2,5;3,75;2;3,75;2,75;2,75;4;3,75;3,71;3,86;3,333333;3;1;1,5;4;3,67;3;4,33;4;4;3,33;4;4;3;3;4,25;4,2;8;9;5;5;8;2,43;4,57;6,5
EE005;0;27;4;2;7;16;2,5;3;3,25;1,75;3,25;3,25;3,75;1,5;1,25;3,71;1,43;2;3;1;1;1,75;3,5;3,75;3;4,6;4,6;4,67;4,5;3,67;3,5;3,25;4;2,53;4;4;7;5;7;1,53;5;5,75
FF004;0;27;4;1;1;16;2,5;3,25;3,25;2;3;3,25;3,75;1,75;2;3,71;2,86;3,666667;4,666667;2;1;1;3,5;3,5;3,67;3;2,6;4,17;3,75;4;3,75;3,25;3,5;3,6;3;7;5;5;6;1,77;4,14;4,75
GG005;1;28;2;2;4;8;2,25;3,5;2,25;2,75;3;3,25;3,75;1,75;1,75;3,43;1,86;3;2;2,25;6;2,5;3,67;3,5;3,33;4,6;4,6;4,83;3,25;3,33;3,5;2,75;3,75;3,53;3;3;8;3;7;2,03;4,57;4,75
HH004;1;28;6;2;4;21;2,25;3;2,25;2,5;4;3,25;2,75;1;2;3,86;2,14;2;2,666667;1,75;2,75;4,75;4,17;4,25;4,33;3,4;4,4;4,33;2,5;2,67;4;4,75;2,75;2,27;4;7;7;8;3;1,83;4,57;5,5
II005;0;27;5;2;4;18;1,25;4,5;3,5;3,25;4;1,75;1,5;2;1,75;4,57;2,86;2;3,666667;1,25;1,25;2,75;3,5;4,25;4,67;4,4;4,8;4,83;3,75;3,67;2,5;3,25;3,25;2,4;4;8;4;6;4;1,83;5,43;6,75
LL005;1;28;2;1;4;8;2,25;3,25;3;3,75;4;3,75;3;3,25;3;3;2,86;3,333333;4,333333;5;3,5;4,5;3,67;4;3;3,2;3,8;3,67;3,25;3;2,75;2,25;3;3,6;8;3;6;6;7;1,6;4,29;3,25
MM004;0;26;3;1;4;13;3,25;4;4,5;3,5;2,25;1,75;2,5;4;3,25;2,71;4,14;1,333333;2,333333;1,5;1,75;3,75;2,67;3;4;5;3,8;4,5;4,75;4;3;2,25;3,5;4,2;5;2;8;2;8;1,53;4,43;3,75
NN006;0;27;3;1;3;13;2,5;3,5;4;2,75;3,5;3,75;4;2,5;2,25;3,86;3,43;4,333333;4,666667;1,5;3,5;3,75;2,83;4,25;4,33;4,2;5;5;4,75;4,33;3,5;3,25;4,25;1,93;8;1;8;5;5;1,43;5,43;6,25
OO005;0;28;4;1;1;16;3,5;2;4;1;2,75;2;2,5;2;1;2,86;3,86;2,666667;2;1;1;1,75;2,5;3,25;4;3;4,6;4,83;4,25;3,33;3,5;3;4;2,93;1;8;7;4;8;2;4,43;6,25
OO006;0;47;2;3;4;8;2,25;3;2,75;2;3;2,25;2,5;1,5;1,75;3,29;4;1;1,333333;1,25;2,25;2,25;2,5;2,25;3,33;2,8;2,4;2,33;3,75;3,33;2,5;2,25;3,25;3,73;3;7;5;3;3;2,13;3,57;4,75
HH005;0;44;6;2;3;21;3,5;3,25;4;1;4,25;4,25;4;2,25;1,75;3,43;3,71;3,333333;2,666667;2;1,25;5,75;3,67;4,25;4,33;5;4,6;5;4,25;4;5;3;3,25;3;4;7;5;4;6;2,4;4,71;6,75
GG006;1;46;5;2;4;18;2,5;3,5;1,5;4;4;3,5;3,5;2,25;2,75;4;2;1,666667;2;6;4,5;6,5;4,33;3,75;3,33;3,8;4;3,5;3,75;3,67;4;3,5;4,25;2,73;5;4;5;3;6;1,5;4,29;4,5
