Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
LL010;1;63;3;2;6;13;1,75;2,75;2,75;1,5;3;2,25;3;1,5;1,5;3,86;2;1;1;1;1;1,5;3,83;3,25;4,33;3,8;4;4,33;3,75;3,67;2,75;3,25;3;3,13;1;8;5;5;7;2,2;5,14;5
HH010;0;37;5;1;3;18;2;2,5;2,25;3,5;4,75;5;3,75;1,25;1;4,57;2,29;1,666667;3,666667;1;1;2,75;4,33;3,5;4;4;4,6;4,83;4;3;3,25;4,25;3;2,27;2;9;7;4;9;1,87;5,14;6
GG015;1;29;4;1;4;16;2,5;3,5;3,25;3,25;3,5;3,25;3,5;2,5;3,5;3,57;2,57;3,666667;2,666667;3,5;2;7,5;3,83;2,75;5;4,2;4,8;4,17;4;1,33;3,75;3,75;3;2,6;2;4;8;8;5;1,4;4,86;5,5
II013;0;32;3;3;4;13;3,5;4,5;3,25;2,5;4,5;4,75;4,75;1,5;1,75;4,14;3;3,666667;2,333333;5,5;2,75;6,25;3,33;4,75;2,33;3,6;2,6;4,67;3,75;3;4;3,5;4,5;3,2;4;6;2;7;6;2,13;3,86;6
MM010;1;40;5;2;4;18;3,5;4;4;2,75;4;3,5;3,25;1,25;1,5;4,43;3,14;2,333333;3,333333;2,5;2;5;3,17;4,25;4,33;4,6;4,8;4,83;3,25;3,33;3,5;3,5;4,25;2,8;6;7;8;7;5;2,2;3,86;5,5
PP010;1;50;5;2;4;18;2;3,25;1,75;4;4;3,75;2,75;1,5;2,25;4;2,14;1,333333;2,333333;3;3,75;3;3,83;3,75;4;3,4;4,6;4,33;3,5;2,67;4;4,25;3,25;3;5;4;4;8;3;2;5,14;5,25
NN012;1;36;3;2;4;13;1,75;3,75;3,25;4;3,75;4,75;3,75;1;1,75;3,57;3;3,333333;3,333333;3,75;4,25;4,75;4,17;3,75;2;2,8;3,8;3,33;3,5;2,33;2,5;4;3;3,6;4;5;3;8;6;2,13;4,86;5
OO012;1;47;4;2;2;16;1,25;4;1,75;3;3,5;3,25;2;1;1,75;3,86;1;1;1;2,75;2,5;4,25;4,33;4,5;4;4,2;5;3,83;3,25;2;2;4,75;3,5;1,8;6;4;6;7;3;1,53;6,29;6,5
EE008;1;37;3;2;4;13;2,5;3,25;2,75;4;4;3,75;4;2;2;4;2,71;3;2,333333;2,25;4;2,25;4,33;4,25;4,33;4,6;4,4;4,33;4;2;2,25;3,5;4,25;2;8;5;7;7;2;1,8;5,43;5
FF014;0;35;3;2;4;13;2,5;3,75;4,25;3,5;3,25;3,75;4,75;1,75;2,5;3,71;3,57;4;3,666667;6,75;4,75;6,75;4;4;3,33;4;3;3,67;3,5;3;3,75;2,75;3,25;3,2;9;4;5;1;5;1,5;2,86;5,25
MM011;1;31;3;1;4;13;2;2,75;3;2;2,75;3,25;4;1,75;2;2,71;2,86;2;1,333333;2,25;3,25;2;3,17;2,5;3,67;2,4;1,8;3,17;3;2,67;2,25;3,5;3;3,73;3;7;7;8;5;2,33;3,71;3,75
EE009;0;23;4;1;8;16;2;2,25;3,25;2;4;3;3;1,25;1,75;4,14;3,14;1;3,666667;1;1;3,5;3,33;4,75;4;4,6;4,8;4,83;4,5;4,67;3;3;5;2,53;9;4;6;4;5;1,57;4,86;6,25
OO013;1;38;3;2;5;13;1,5;2;1,5;2;2,5;3,25;3,5;2;2,25;3,57;3;2;2;3,25;5;5;3,33;3,75;3,67;3;3,4;4,5;2,5;3,33;3,75;2,5;2,75;3,47;1;3;7;3;5;2,1;4,43;4,75
PP011;0;31;6;2;5;21;3,5;2,25;4,25;2;4,75;4;3;1;1,25;3,86;2,57;3,666667;3,333333;2,75;1;4,25;3,67;4,25;4,67;5;3,2;4,67;4,75;5;5;4,25;5;2,8;5;9;1;5;9;2,57;4,29;7
NN013;1;36;3;1;5;13;1,5;2,5;2,25;1,75;3,25;3,25;1,75;1,75;1,75;4;1,86;2,666667;2,333333;1;6,25;6,5;3,5;4,75;5;2,6;4,2;4;3,5;2;1,5;2,25;3,75;2,6;1;1;9;7;9;1,93;5;6,5
TT011;1;45;2;2;5;8;3;2,5;3;1,75;4,75;3,5;2,75;1,25;1,25;3,86;2,71;2,666667;2,666667;1;1,5;1;3,67;3,75;4,33;4;4,8;4,5;3,25;3,33;3,5;3,75;3;2,13;4;5;6;6;6;1,63;6,14;6,5
RR011;0;52;3;3;4;13;2,25;2,25;2,25;2,75;2,25;2,5;2,5;2;2;3,71;3,14;3,333333;3,666667;2,25;2,25;1,5;3;2,5;3,33;3;3,2;3;3,75;3,33;3,25;3;3;2,67;6;6;6;4;6;2,03;3,57;4,25
OO014;0;37;6;2;4;21;2;1,75;3;2,5;3,75;3,25;4,75;1,5;2;3,43;3,14;1;3,666667;1,25;1,25;4,5;4,33;4,75;5;4,4;4,2;5;3,25;3,33;2,75;3;3,5;2,47;7;6;5;5;6;1,6;4;6,25
AA014;1;27;5;1;3;18;2,75;1,75;3,75;3;3,75;3,25;3;1,5;2;3,86;3,14;2,666667;2,333333;2,75;3,25;5,75;3,17;3;2,67;3;4;3,5;4;3,67;2,25;3;3,5;2,87;4;2;3;4;8;1,7;4,71;3,5
RR012;1;62;5;2;5;18;3,25;2,5;2,75;2,25;3;3,75;3,75;2;2,75;3,86;1,43;1,666667;3,333333;1,5;1,25;1,25;3,5;3,75;4,67;3,2;3,2;3,17;1,75;2,67;2,5;3,25;3;1,6;6;6;6;5;4;1,5;3;4
SS009;0;54;5;3;3;18;2;2,5;2,75;1,25;3,5;1,25;1,5;1,5;1,75;4,14;2,14;2,333333;3,666667;1,25;1;4,5;2,33;2,5;5;4,2;1,4;4,5;4;4;3,25;2,75;3,75;3,07;5;7;5;3;5;1,73;4,71;6,5
RR013;0;53;4;2;4;16;2,25;2,75;2,75;2,5;3;2,5;3;2,75;2,25;4,43;2,57;2,666667;3,666667;1;3,75;2,5;3,83;4,25;4;3;4,6;4,33;4,25;3,33;3,75;4,25;3,75;1,6;3;6;4;8;5;1,2;4,86;6
SS010;1;29;4;3;3;16;3;3;3,75;2,5;4;3,75;3,5;3;2,5;3,43;3,57;3;4,333333;4,75;1,25;5,25;3,67;4,75;4;4,8;4,6;4,17;3,75;4,33;3,5;2,75;3,75;3,07;7;8;3;3;6;1,5;4,71;5,25
TT012;0;25;4;1;4;16;2,5;3,75;3,5;2;4;3,75;3;1,5;2,25;3,86;3,71;3;3,333333;1,25;2,75;2,75;3,67;5;3,33;3,6;3,8;5;3,75;3,67;3;2,75;3;3,33;5;7;6;5;6;2,43;3,71;5,5
GG016;0;33;4;2;2;16;3;3,25;3,25;2;3;2;1,5;2;2;3,86;4,57;5;5;1,5;1;1,75;2;2;3;2,4;3,6;4,33;2;3,67;3,5;2,25;2,25;4,4;8;5;2;4;4;3,2;2,29;3,5
EE010;0;24;3;1;1;13;4,25;3,75;4;1;2,75;1;1;3,5;2,5;3,14;5;3,333333;2,666667;1,75;1;1,5;1,5;1,25;1,33;2,6;1,4;2,17;3;2,67;2;2,25;2,25;4,73;2;7;3;5;8;3,1;1,71;2,5
DD012;1;44;5;2;5;18;2,5;2,5;2,5;1,75;3,25;3,25;2,5;2,25;2,25;4,14;3,71;3;2,666667;4,75;2;4;4;4,75;5;4,4;5;5;4,25;3,67;3,75;4;3,25;2,73;6;7;2;3;2;2,2;3,86;4,75
FF015;1;41;6;3;4;21;2,75;2,75;2,75;2,5;3,5;4;2,75;2,25;2;4;3,14;3;4;1,75;1;2;3;3,25;2;4,6;4,6;5;5;4;4,5;4;5;2,73;8;7;7;8;7;1,97;5;5,5
HH011;0;44;3;2;4;13;3;3;1,75;4,5;3,75;3,75;4,75;1,25;1,25;4,29;2,14;5;5;4,75;4,25;2,75;4,83;4;3,67;5;3,2;4,5;5;2,67;4,75;4,5;5;2,07;9;5;3;7;2;1,3;5,29;5
RR014;1;49;2;3;4;8;2,25;4,5;3;3;2;3,25;3,75;1,75;1,5;3,29;2,43;1,666667;2,666667;1;4;1;3,33;3,25;2,67;3;3,4;4;3,5;3;2,5;2,75;3,25;2,73;4;5;5;4;5;1,8;3,29;4,5
RR015;0;57;3;3;3;13;2,25;3,25;3,75;3,25;4,25;4,75;3;2,25;2,25;4,14;2,43;2,666667;2;2;6,75;5,25;5;4,75;3,67;4,2;3,8;4,33;3,5;3;3,75;4;4;2,4;7;7;6;7;7;1,53;6;6,5
MM012;0;33;3;1;4;13;2,5;3;2,75;4,25;4,25;4,5;5;1,75;3,25;4;2,29;3,333333;3,333333;2;5,25;1,5;4,17;4,5;4;3,2;4,4;4,5;3,25;3,67;2,75;3,75;3,25;2,53;4;6;7;5;5;1,6;6,14;6,75
II014;1;27;2;3;5;8;1,5;4;2,25;1,75;2,5;2,5;3,25;2;1,5;3,57;3,14;2;2,666667;2;2;1,75;4;4,25;3,33;5;4;4,67;3;3;1,75;3;3,25;2,6;9;7;3;5;5;1,5;5,71;5,5
AA015;0;60;2;4;4;8;1,25;1,75;3,5;3,75;2,25;2,75;3,5;2,25;2,25;3,43;3;2,666667;3,666667;3,5;1;1;3,17;4,5;3,67;3,2;4,6;4;3,25;4;2,75;2;3,75;3;4;6;6;8;6;1,8;4,29;5,75
RR016;0;27;3;1;4;13;1,5;3,25;2;2,75;2,25;3,75;4;1,25;1,5;3,29;1,71;3;2,333333;3,25;5,5;3;3,67;3,5;3,33;4,2;3,4;3,83;4;3;2,25;2,5;4;2,87;7;5;2;5;7;1,37;5,71;3,75
NN014;0;28;2;1;4;8;2;2,5;2,5;2;2,5;2,25;3,5;1,75;2,25;2,86;3;5;4,333333;3,25;2;4,75;3,17;3,5;3,33;3,8;3,6;4,83;3;2,67;2,75;3;3,25;2,73;3;4;3;3;7;2,03;4,57;4,75
QQ011;0;27;3;1;4;13;2,25;2,5;3,25;2,75;2,75;2,75;3,25;4,25;2,25;2,86;3,29;1,333333;2;1,25;3,75;5;2,83;4,75;3;2,8;3,6;4,5;3,5;4,33;2;1,5;3,25;3,6;2;8;5;3;7;2;3,43;4
RR017;1;54;4;2;4;16;2;3,25;3;2,5;3,75;3,75;2,5;2;2;4;4,14;1;4,333333;3;1,5;3,5;4;2,75;3,67;3,4;3,8;4,5;2,5;2,67;4,25;4;3;2,4;4;6;4;6;5;1,5;4,86;5
PP012;0;27;3;2;4;13;2,25;2,75;3,5;1,75;3,25;2,25;2,25;3,5;2,75;3,71;3,29;3,333333;4,666667;4,75;4;6,75;3;3,75;5;3;4,2;5;4;3,67;3;2,5;3,5;4,07;6;3;7;4;4;1,87;4;5,5
OO015;0;28;3;2;1;13;2,5;2,25;2,75;1,5;4;2;2;3,25;4;2,86;3,43;3;2,666667;1;1;1,25;3;3;3,67;4,2;4,4;4,83;3;4;3;2,75;4,25;3,2;6;9;2;5;5;1,73;4;6
EE011;1;29;3;1;4;13;3;3,25;2,5;3;3,75;4;3,25;2,25;2,75;4,29;2,14;1,666667;2,333333;1,75;6;2,5;4,5;4,25;4,67;4,8;4,4;4,17;3,25;2,67;4;3,25;4;2,47;8;8;8;6;7;1,67;4,71;5,5
SS011;0;62;2;3;5;8;1,75;1,75;2;1,25;2,25;2,25;2,25;2;2;3,14;3,29;2,666667;3;1,25;1;2,5;3;3,5;4,67;3,2;4,4;3,83;4,25;3,33;4;1,75;3,25;2,33;5;7;5;3;5;1,63;4,43;6,25
TT013;0;38;3;2;4;13;2,5;2,75;3;3;3;2,5;2,25;1,75;3;2,57;3,71;2,333333;2,666667;1;1;1,25;2,17;2,25;4;3,8;3,2;3,83;3,25;3,33;2,5;2,25;3;3,4;5;7;5;3;5;2,03;3,43;5
II015;0;23;4;1;8;16;2,5;3,5;3,5;4;5;3,75;4,25;3;2;4;3,14;3;4,666667;3,5;1;6,75;4;3,25;3,67;4,6;4,6;4;3,75;3,67;4,25;3,5;4,75;3,4;5;5;5;7;7;1,8;5,29;6,25
EE012;1;25;3;1;5;13;2,5;2,25;2,25;2,25;3;2,75;4;1;2;2,86;2,71;2,666667;3,333333;3;2,75;4,25;4,17;2,75;1,33;5;2,8;4,5;4,25;3,67;3,5;3,5;3,75;2,67;6;5;3;3;4;1,67;6,29;4,5
PP013;1;23;4;1;8;16;2;4;2,5;2,25;3,75;2;2,75;1,5;2;4;1,43;1,333333;3,666667;2;2,5;4,5;4,17;3,25;4;4,4;2,6;4,33;3,5;2,33;2,5;3,75;3,5;2,33;6;6;8;9;9;1,97;6,43;6
SS012;1;23;3;1;8;13;2,25;2;2,75;2,5;3,25;3;3,75;1,75;2;3,43;4,43;2,666667;4;3,25;3,5;5,75;2,5;3,25;4;5;4,2;4,5;4;3,67;3;2,25;3,5;3,13;8;5;8;2;4;2,13;3,86;4,5
QQ012;1;20;3;1;1;13;2;3,75;3,25;3;3,25;3,75;4,25;1,5;2;4,14;2,29;3;4;1;2,5;5;3,83;3,75;3;3,8;4;4,33;4,25;5;4;3,25;4;2,07;5;4;5;5;9;1,7;5,14;6,5
HH012;0;26;4;3;3;16;2,25;2,25;2,75;3,25;3;3,75;4;3,75;3,75;2,86;2,43;2,333333;4,333333;2;6,75;6,25;3,5;2,5;3,33;2,8;2;2,67;2,5;4,33;3,75;2;2;3,67;8;3;7;8;9;2,17;3,57;4,75
GG017;1;32;3;1;8;13;1,25;2,25;3;1,75;2,75;2,75;1,75;1;1,25;4;2,14;4;4,666667;3,5;7;4,5;3,33;2,75;1,33;4,6;1,2;4,83;3,75;3,67;4;4;4,25;2,07;4;6;5;6;6;1,43;5;4,75
DD013;0;25;5;2;4;18;2,25;5;2,5;1,75;3,5;4;4,25;1,25;1,75;4;2,43;2,666667;3;2;2,5;4;4,33;4,25;4,33;3,4;4,6;4,5;3,25;3;2;3;3,75;2,67;2;6;5;8;5;1,83;5,14;4,25
EE013;1;34;5;2;4;18;3,5;3;2;4;3;3;3,5;2,5;3,25;2,71;3,71;2,666667;2,333333;5,5;7,5;5,25;3;2,75;2,33;2;3,2;2,67;1,75;2,33;1,75;3,25;1,5;4,07;2;8;7;8;7;2,43;4;3,75
FF016;0;28;3;1;1;13;3,5;3,75;1,75;1,75;4,75;4,5;4;2,25;1,25;4,14;4,71;4,333333;4,666667;1;1;3,25;2,83;3,75;4,33;4,6;2;3,83;4;4,67;2,5;3,75;5;3,53;7;8;5;4;8;2,83;3,29;5,25
CC013;0;17;2;1;8;8;2,5;2,75;3;2,75;4;4,25;3,75;1,25;2;4,71;2,71;1,333333;3,666667;3,75;4,5;4,25;4,17;4,75;3,33;4,8;3,8;4,33;4,25;4;4,25;3,25;4,25;2,33;6;6;2;4;9;1,33;3,43;3,75
LL011;1;49;3;2;4;13;2,25;2,5;3;2,75;3;3;3;2,25;2;3,86;3,29;2,333333;3;2;2;2;3,17;3;4;3,2;4,2;4,17;3,5;3,33;2;2,75;3,5;3,27;3;4;6;4;4;1,6;4,29;3,75
AA016;0;48;3;2;1;13;1,5;2,5;2;1,5;3,25;5;4,5;1,25;1;4,71;1,57;1;1,666667;1,25;1;2,5;4,83;4,5;4;4,6;5;4,83;4,25;3;3,5;4,25;4,25;1,53;6;6;8;4;7;1,17;6,29;7
BB012;0;37;5;2;2;18;1,5;2,75;4,25;3,75;4,5;5;3,25;1,25;1;4;1,71;1,333333;3,333333;1;1,75;4,75;4,5;4,25;3;3,6;4,8;4,5;3,75;4,33;4;4;3,75;2,67;5;6;3;8;6;1,6;4,71;5,25
AA017;0;29;5;2;5;18;3,25;2,75;4;3;4,5;5;4,5;2,5;2;4;3,71;2,333333;4,333333;2;2;5,5;3,83;5;4,33;4,6;4,8;4,33;4,5;4;3,25;2;4,25;2,53;7;5;6;3;9;0,93;4,86;5,75
CC014;1;37;5;2;4;18;1,75;2;3;2;4,25;5;5;1,25;1,75;4,86;1,86;1;1;2;2;4,75;4,5;4;4;4;4,4;4,5;2,5;2;1,5;3;2,5;2,33;6;5;8;7;3;1,53;6,29;5,5
DD014;0;37;5;2;5;18;2;2,25;4;2,5;4,5;5;4;1;1,5;4;1,71;2,333333;4,333333;2,25;2,25;4,25;4,33;4,25;3,33;3,8;4,6;4,67;4;4;4,75;4,25;4;2,47;6;5;4;5;9;1,5;6;5,75
EE014;0;74;5;4;6;18;2;2,75;2,25;1,75;4,75;2,75;4;1,5;1,5;4;2,57;2,666667;4,333333;1;1;2,75;3,33;3;3,67;3,6;4,8;4,67;3,5;3,33;2,75;3,75;3;2,47;6;5;4;5;9;1,53;5,29;5
NN015;0;27;5;2;4;18;2,25;3;3;1,75;3,5;2,75;3,25;1,5;2;3,57;2,29;4;3,333333;1,25;1;2,25;4;4,25;4,33;3,6;4;4,83;3,5;3,33;2,75;3,75;3,25;2,47;5;5;6;5;5;1,37;5,57;6,75
II016;0;27;5;1;3;18;2,5;2,75;2,25;2,75;3;3;2,25;2;1,75;3,43;2,29;2,333333;2,666667;1,5;2;2,25;3,67;3,5;3,67;3,2;3,6;4,83;3,75;3,33;3,75;4,25;4;2,53;8;5;3;7;7;1,97;6,14;5,75
LL012;0;26;5;1;5;18;2,25;2,75;4,25;3,25;4,5;5;4,25;1,75;2;3,86;2,86;2;4;4,75;3,75;3,75;3,67;3,75;3,67;4;3,8;4,67;3,5;3;3;2,75;3,5;2,67;6;4;3;3;7;1,13;4,29;5,75
HH013;1;33;6;1;4;21;2,25;4;2,25;2,25;4;4;3,75;1,25;1,5;4;1,57;1;1,666667;7;6,5;4,25;4,17;4;4;4;3,4;3,83;5;3;4;4,5;4;2;4;4;6;6;4;1,13;6;5,25
MM013;0;36;5;2;5;18;2,25;3;4;3,5;3,5;3,75;4;1;1,5;3,43;1,86;1,333333;3,333333;3;1;5,5;3,17;3,25;4;4,6;2,2;3,33;3,25;5;3;3,25;3,25;3,6;4;7;2;2;9;1,83;4,29;4,75
NN016;1;30;3;1;4;13;2;2,5;2,5;2,75;2;2;2,5;2;2,5;2,29;3,29;3,333333;3;3,25;2,75;4,5;3,67;3,5;3,33;4;3,4;4,17;3,5;3;2,5;4;4;3,13;3;7;6;5;6;2;5;4,5
OO016;0;42;1;2;7;5;3,5;4;4,5;4,5;3,5;3,5;4;4;2,5;3,14;3,57;3,333333;5;3,75;5,25;5,25;2,33;1;2,33;3,4;3,4;4,67;1,75;4;1,5;3;3,75;4,47;9;8;2;8;6;2,17;3;4
MM014;0;21;2;1;3;8;2,75;2,5;4;4;3;3,25;3,25;2,5;3,75;3,86;4,57;5;5;2,5;6;7,25;2,5;2,5;3,33;4;3,4;4,5;3,75;4;3;1,25;3,75;3,8;8;5;6;2;8;1,97;2,57;4,25
PP014;1;43;2;2;4;8;1,5;5;2,25;2;2,5;1,75;2;2;2;3;2,86;1;1,666667;1;3;2;3;3;3;3;3;3;2;3,33;2,25;1,75;3,5;2,13;5;9;4;1;9;2,2;3;5,75
PP015;0;30;5;1;2;18;2;1,75;2,5;2,75;3;3,5;3,25;1,25;2;3,57;3;3;3;1,5;1,5;1,25;3,67;2,75;2,67;3,4;4;3,67;4,5;3,67;3,25;4;4,25;3,6;2;5;6;5;9;2,2;4,43;5,5
QQ013;1;35;5;1;3;18;1,5;2,5;2,75;1,75;3,5;3,5;3,75;1,5;1,25;3,86;2,71;1,333333;2;1,75;1,25;5,75;3,5;4,25;3,33;4,2;2,8;4;2;4;2,25;2,25;4;3,53;6;5;3;5;6;2,17;3,71;5,75
OO017;0;32;5;1;1;18;1,25;3,5;1,25;2;3;2;3,75;2,25;1,25;3,71;2,43;1,666667;1;1;1,5;4,5;2,83;3,25;4,33;3,2;4,2;4,67;2,5;2,67;2,75;3,25;2,75;3,73;5;4;4;6;6;1,57;6;5,5
DD015;1;32;3;1;4;13;1,5;2,25;2,75;1,75;3,5;3,25;3,5;2;2;4,29;1,71;4;3,666667;1,75;3;4,5;4;3,25;3;4;3,8;3,67;3,25;3;2,5;3,75;2,75;2,07;5;7;6;5;4;1,07;4,71;5,5
SS013;1;31;6;1;3;21;2,75;4,25;3,75;3,75;4,25;4,75;3,75;2,5;2,75;4,71;3,14;3,333333;3;4;6,75;3,5;4;4,25;4,33;4;4,6;5;4;3,67;4,75;3;3;2,93;5;2;6;3;9;1,13;3,57;5
TT014;0;26;5;1;5;18;1,5;2,75;2,25;2,75;3;3;3,5;1,25;1,25;4;2,43;2,333333;2,333333;1;2,75;2,25;4,17;4;5;4,6;4,8;4;3,75;4;2,75;3;4,25;2,93;5;8;7;6;7;1,93;5,86;6,75
BB013;1;34;5;2;4;18;1,25;2;1,75;2;3,25;2;2,5;1;1,75;3,71;1,71;2,333333;2,333333;2,5;3,5;5,75;4;4;3,67;3,2;3,2;3,33;3,25;3;3;3,75;3,5;2,2;6;4;7;5;5;1,43;5,71;5,25
AA018;1;26;4;1;8;16;2,5;3;3,25;2,25;3,25;3;2;4,75;4;3,29;4,57;3,333333;5;1;2,5;6;2,83;3;3,33;2,8;3,6;4,33;3,5;2,67;2;2,5;3,75;3,73;2;7;7;5;4;1,97;4,43;3,5
AA019;0;30;5;2;5;18;2,75;3,25;3;2,75;4;2,25;4,25;2;2;3,86;4,71;2;2,333333;1,75;4;5,75;2,67;4,5;4,33;5;5;4,17;2,5;3,67;1,75;2,5;3,25;2,33;8;2;4;4;6;1,5;4,71;6,5
CC015;0;57;2;2;7;8;1,25;2;1,75;2,25;2,75;2;2;1;3;2,86;1,57;3;2,333333;5;4,75;6,25;4;4;3;4;4;3,83;3,75;4;2,5;4;4;2,53;7;3;4;5;5;0,8;5,57;5,5
LL013;1;37;2;2;4;8;3,75;2,5;2,5;3,75;4,25;4;4,25;1,75;1,75;4,14;2;2;2;3,25;2,5;6,25;4,33;4,25;3,33;4,2;4,2;4,83;4;4;3,25;3,25;5;1,87;7;5;5;7;5;1,5;4,86;5,5
SS014;0;16;2;1;8;8;1,25;2,5;1,5;2,5;1,75;3,75;2,75;1;1;1,14;1,71;2;2;3;2,25;3,5;1,5;2;1;2,6;3,2;4,5;2,25;3;3,75;3;1,75;2,73;5;3;1;1;6;2,37;2,71;4,75
RR018;0;71;3;3;6;13;1,75;3;1,25;1,25;2,5;2,5;3;1,25;1,75;3,29;2,29;1,333333;2,666667;1;1,75;2;3,17;3,25;3,67;3,2;4;3,83;3,75;4,67;3,5;3,75;3,75;2,53;4;8;3;6;8;1,93;4,71;5,25
PP016;0;22;3;1;8;13;2,5;3;3,5;3;4,25;3,5;3,5;1,5;1,5;4,14;2,71;1,333333;2,333333;4;2,25;3;3,67;4;4,67;4,6;4,2;4,17;4,75;3,33;3,5;3,25;4;2;8;4;5;4;6;1,07;4,86;6
QQ014;0;30;6;2;5;21;3,25;4;4;1,75;2,75;2,75;3,25;1,25;2;3;3,29;2,333333;3,666667;2;1,25;4,5;4;2;3,67;3,6;4,2;5;3,75;3,67;4;4,25;4,25;3,07;2;8;3;7;6;1,8;4,43;6,5
RR019;0;40;3;2;4;13;2;2,5;2,5;2,25;2,75;3;2,5;1;1,25;3,86;2,29;1;2;1;1,75;1,75;4;3,5;3,67;3,6;3,8;3,83;3,75;4;3;4;3,75;2,07;3;7;3;8;8;2,67;5;5,25
SS015;1;37;3;2;4;13;1,75;2,25;2;2,75;3,5;4;2,75;1,25;1;3,71;1,86;1;1,333333;1;1,5;2,25;4;3,75;4;3,8;4;4;3,75;4;3,25;3,75;4;2;6;6;4;7;8;2;6;5,75
TT015;0;38;6;1;4;21;3;3;3,25;4;3;4;4;2,5;3;4;4;3,333333;3,666667;2,75;4,5;3,5;3;3,75;4;2,8;2;2,83;5;3;3,75;3;4,5;4,27;2;8;8;4;7;2,07;3,86;4,25
LL014;1;66;3;2;6;13;1,5;2;1;1,5;2,5;2,5;2,75;2,5;2;3,71;2,71;2,666667;2,333333;3;4,5;3,75;3,17;2,75;3,67;3,2;4,6;4,33;2,25;3;1,75;4;2,25;2,13;5;3;5;8;5;1,27;5,86;6,25
HH014;0;66;3;2;6;13;1,5;2;1,25;2,5;2;2,5;3;2,25;2;2,86;2,86;3,333333;2,333333;1,25;3,75;3;3,17;2,75;3,67;2,8;4,6;4,17;2;3;1,75;4;2,25;2,67;5;3;5;8;5;2,1;5;6,25
TT016;1;21;3;1;3;13;4;3,75;3,25;3;3,5;2,25;3;2,25;2;3,43;4,29;1,666667;2,333333;1,75;2,5;1,75;1,83;1,5;4,67;2,8;3,2;4,33;2,25;2,33;3;3,25;2,25;4,07;2;7;5;6;4;2,73;3,71;3,25
GG018;0;49;3;2;4;13;2;4,75;3,5;2,5;3;2,75;4,75;2,5;2,25;4,14;2,29;1,333333;1,666667;3,5;2,5;4;3,67;3;4,33;3,2;3;3,67;2,5;2,33;2,25;3,75;4,25;3,67;7;7;5;5;5;2,77;4,86;3,75
FF017;1;51;3;2;4;13;2,25;2;2,5;1,25;3;3,25;2,75;1,25;2;4;2,14;2,333333;2;3,25;3,25;5;4;4,5;4;3,6;4;3,83;4,25;2;4,5;4;4,25;2,4;5;5;6;6;6;1,67;5,57;5,25
HH015;0;61;3;1;6;13;2,25;2,5;2,75;2;3;3,75;3,25;1,5;2;4,29;2,71;3;4;1;1;1,25;3,83;3,75;4;3,8;1,6;4,17;3,25;2;3,75;2,75;4,25;3,2;2;8;8;6;6;2,2;4,86;5,25
HH016;0;27;4;2;5;16;2,5;2,25;2,75;4,25;3;3,75;4,25;1,5;2,25;3,14;2,57;3;3;1,5;2;4,75;3,5;3;1,67;3,8;4,4;4;3,5;3,67;2,5;4;4;3,2;3;8;2;8;5;1,63;3,86;4,25
DD016;0;69;2;2;7;8;2,75;2,25;2,75;3,25;3,25;3,5;3,75;3,5;3;3,29;2,29;1;2,333333;5,25;5,5;5;3,67;3;3,67;4,4;4,2;4,67;3;2,67;3;2,5;3;3,07;7;1;6;6;4;0,83;3,43;4,25
CC016;0;29;3;2;7;13;2,75;3;3;2,5;3,5;4,25;3;2;2,5;3,71;2,71;3,333333;4,333333;1,75;1,25;3;3,67;3,75;2,67;3,8;4;4,33;3,75;2,67;3,25;2,75;3,25;2,13;3;6;4;7;6;2,23;3,57;4,75
EE015;0;51;3;2;4;13;4,25;3,5;4,5;2;3,75;4,25;3,25;2,75;2,75;3,43;3,29;3,333333;1,333333;4;5;3,5;2,83;2,5;3,67;3,2;3;2,17;5;3;4;3;3;3,47;3;3;5;5;8;1,63;3,43;5
RR020;1;27;4;2;4;16;2,25;2,75;3,5;1,5;2,75;3,25;3,75;3;2,25;4,43;3,71;1,333333;3,666667;5,25;2,75;4,75;3;2,75;3,33;4,2;4,4;3,67;4,75;3,33;4,5;2;2,75;3;7;1;6;2;7;1,17;3,14;4
DD017;0;58;3;2;7;13;2;2,75;2,75;3,75;2,5;3,75;4,75;2;1,5;4;2,71;4,333333;3;4,25;3,5;7,75;4,17;3;2,33;4,8;4,2;2,67;3,75;2,67;4,25;3;3,5;3,47;7;2;8;6;2;2,1;3,14;3,75
